,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
0,10,100,0.36,0.2,0.28,0.36,0.36,0.28,0.12,0.28,0.36,0.24
1,20,100,0.72,0.4,0.12,0.4,0.24,0.08,0.44,0.36,0.28,0.44
2,30,100,0.24,0.36,0.24,0.24,0.2,0.24,0.32,0.2,0.28,0.2
3,40,100,0.28,0.44,0.32,0.12,0.44,0.12,0.16,0.2,0.4,0.44
4,50,100,0.08,0.2,0.24,0.12,0.36,0.16,0.28,0.2,0.32,0.08
5,60,100,0.24,0.16,0.2,0.16,0.08,0.16,0.2,0.12,0.12,0.24
6,70,100,0.12,0.16,0.32,0.2,0.2,0.28,0.04,0.12,0.16,0.12
7,80,100,0.16,0.28,0.4,0.16,0.24,0.2,0.28,0.2,0.12,0.12
8,90,100,0.16,0.24,0.08,0.32,0.16,0.12,0.08,0.12,0.08,0.12
9,100,100,0.24,0.08,0.0,0.4,0.04,0.12,0.24,0.12,0.28,0.16
10,110,100,0.12,0.12,0.2,0.12,0.2,0.2,0.0,0.16,0.04,0.16
11,120,100,0.08,0.16,0.12,0.24,0.04,0.2,0.28,0.0,0.12,0.2
12,130,100,0.04,0.12,0.12,0.0,0.24,0.16,0.04,0.12,0.12,0.04
13,140,100,0.12,0.2,0.04,0.04,0.2,0.08,0.2,0.04,0.12,0.16
14,150,100,0.12,0.08,0.28,0.12,0.12,0.2,0.08,0.12,0.16,0.08
15,160,100,0.12,0.04,0.04,0.16,0.16,0.2,0.2,0.24,0.08,0.12
16,170,100,0.24,0.2,0.12,0.2,0.24,0.28,0.2,0.16,0.08,0.08
17,180,100,0.08,0.08,0.08,0.12,0.16,0.2,0.04,0.2,0.12,0.08
18,190,100,0.24,0.04,0.16,0.12,0.0,0.0,0.2,0.28,0.2,0.16
19,200,100,0.12,0.28,0.08,0.2,0.16,0.12,0.16,0.0,0.16,0.2
20,10,200,0.42,0.42,0.36,0.38,0.26,0.36,0.28,0.46,0.22,0.46
21,20,200,0.34,0.32,0.28,0.3,0.24,0.38,0.32,0.24,0.24,0.44
22,30,200,0.32,0.34,0.18,0.28,0.2,0.34,0.12,0.26,0.06,0.22
23,40,200,0.26,0.26,0.26,0.26,0.16,0.36,0.14,0.2,0.12,0.3
24,50,200,0.28,0.32,0.28,0.24,0.38,0.08,0.2,0.16,0.18,0.12
25,60,200,0.24,0.24,0.32,0.24,0.18,0.22,0.22,0.14,0.34,0.1
26,70,200,0.36,0.2,0.3,0.2,0.14,0.14,0.22,0.08,0.08,0.14
27,80,200,0.26,0.24,0.24,0.1,0.36,0.14,0.18,0.24,0.14,0.26
28,90,200,0.08,0.32,0.08,0.24,0.24,0.3,0.14,0.12,0.1,0.16
29,100,200,0.2,0.22,0.06,0.22,0.22,0.16,0.22,0.08,0.12,0.26
30,110,200,0.2,0.34,0.3,0.14,0.2,0.22,0.08,0.14,0.14,0.12
31,120,200,0.3,0.18,0.2,0.22,0.36,0.18,0.12,0.06,0.12,0.14
32,130,200,0.04,0.2,0.1,0.2,0.26,0.18,0.16,0.06,0.14,0.12
33,140,200,0.04,0.18,0.18,0.18,0.14,0.16,0.24,0.14,0.16,0.16
34,150,200,0.16,0.18,0.2,0.16,0.12,0.18,0.18,0.18,0.08,0.16
35,160,200,0.1,0.14,0.16,0.08,0.16,0.14,0.04,0.2,0.18,0.14
36,170,200,0.12,0.14,0.1,0.16,0.22,0.02,0.18,0.12,0.14,0.12
37,180,200,0.12,0.12,0.1,0.1,0.2,0.2,0.08,0.16,0.06,0.2
38,190,200,0.12,0.1,0.14,0.2,0.14,0.04,0.1,0.14,0.12,0.28
39,200,200,0.16,0.08,0.12,0.1,0.12,0.14,0.16,0.1,0.08,0.1
40,10,300,0.36,0.3466666666666667,0.38666666666666666,0.26666666666666666,0.37333333333333335,0.29333333333333333,0.29333333333333333,0.48,0.37333333333333335,0.4266666666666667
41,20,300,0.37333333333333335,0.36,0.21333333333333335,0.28,0.12,0.36,0.3466666666666667,0.37333333333333335,0.3333333333333333,0.17333333333333334
42,30,300,0.30666666666666664,0.30666666666666664,0.22666666666666666,0.24,0.21333333333333335,0.28,0.37333333333333335,0.36,0.30666666666666664,0.24
43,40,300,0.4266666666666667,0.21333333333333335,0.29333333333333333,0.18666666666666668,0.13333333333333333,0.29333333333333333,0.38666666666666666,0.17333333333333334,0.17333333333333334,0.18666666666666668
44,50,300,0.22666666666666666,0.09333333333333334,0.24,0.36,0.32,0.22666666666666666,0.28,0.25333333333333335,0.38666666666666666,0.30666666666666664
45,60,300,0.26666666666666666,0.14666666666666667,0.28,0.21333333333333335,0.14666666666666667,0.17333333333333334,0.14666666666666667,0.25333333333333335,0.2,0.22666666666666666
46,70,300,0.29333333333333333,0.22666666666666666,0.13333333333333333,0.18666666666666668,0.25333333333333335,0.17333333333333334,0.22666666666666666,0.13333333333333333,0.30666666666666664,0.21333333333333335
47,80,300,0.17333333333333334,0.14666666666666667,0.24,0.08,0.10666666666666667,0.14666666666666667,0.14666666666666667,0.24,0.16,0.16
48,90,300,0.18666666666666668,0.17333333333333334,0.06666666666666667,0.16,0.05333333333333334,0.14666666666666667,0.13333333333333333,0.18666666666666668,0.25333333333333335,0.17333333333333334
49,100,300,0.12,0.13333333333333333,0.28,0.16,0.14666666666666667,0.13333333333333333,0.12,0.14666666666666667,0.14666666666666667,0.16
50,110,300,0.17333333333333334,0.21333333333333335,0.08,0.26666666666666666,0.21333333333333335,0.13333333333333333,0.17333333333333334,0.17333333333333334,0.21333333333333335,0.22666666666666666
51,120,300,0.14666666666666667,0.12,0.18666666666666668,0.2,0.18666666666666668,0.18666666666666668,0.10666666666666667,0.14666666666666667,0.17333333333333334,0.21333333333333335
52,130,300,0.17333333333333334,0.13333333333333333,0.21333333333333335,0.16,0.08,0.22666666666666666,0.10666666666666667,0.12,0.09333333333333334,0.14666666666666667
53,140,300,0.25333333333333335,0.06666666666666667,0.09333333333333334,0.08,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.09333333333333334,0.14666666666666667,0.16
54,150,300,0.10666666666666667,0.18666666666666668,0.16,0.25333333333333335,0.17333333333333334,0.21333333333333335,0.08,0.14666666666666667,0.12,0.18666666666666668
55,160,300,0.08,0.12,0.17333333333333334,0.17333333333333334,0.14666666666666667,0.14666666666666667,0.14666666666666667,0.05333333333333334,0.10666666666666667,0.10666666666666667
56,170,300,0.16,0.29333333333333333,0.17333333333333334,0.08,0.12,0.05333333333333334,0.06666666666666667,0.06666666666666667,0.17333333333333334,0.16
57,180,300,0.12,0.2,0.12,0.09333333333333334,0.08,0.12,0.10666666666666667,0.04,0.10666666666666667,0.14666666666666667
58,190,300,0.14666666666666667,0.16,0.05333333333333334,0.16,0.12,0.13333333333333333,0.08,0.18666666666666668,0.10666666666666667,0.14666666666666667
59,200,300,0.14666666666666667,0.09333333333333334,0.08,0.17333333333333334,0.10666666666666667,0.14666666666666667,0.18666666666666668,0.18666666666666668,0.17333333333333334,0.12
60,10,400,0.49,0.39,0.44,0.46,0.47,0.46,0.35,0.42,0.37,0.46
61,20,400,0.39,0.17,0.38,0.21,0.36,0.37,0.33,0.18,0.34,0.28
62,30,400,0.32,0.33,0.24,0.15,0.2,0.23,0.38,0.28,0.29,0.23
63,40,400,0.29,0.22,0.23,0.38,0.3,0.15,0.28,0.3,0.29,0.17
64,50,400,0.17,0.18,0.27,0.22,0.17,0.29,0.21,0.14,0.16,0.18
65,60,400,0.29,0.35,0.13,0.17,0.35,0.31,0.39,0.2,0.17,0.26
66,70,400,0.19,0.16,0.22,0.23,0.29,0.32,0.23,0.2,0.14,0.12
67,80,400,0.29,0.16,0.22,0.13,0.28,0.16,0.27,0.25,0.14,0.22
68,90,400,0.12,0.1,0.1,0.24,0.25,0.09,0.13,0.05,0.13,0.11
69,100,400,0.24,0.17,0.21,0.14,0.24,0.24,0.15,0.23,0.14,0.09
70,110,400,0.16,0.12,0.13,0.12,0.1,0.23,0.16,0.11,0.07,0.16
71,120,400,0.22,0.16,0.14,0.06,0.16,0.19,0.17,0.15,0.17,0.27
72,130,400,0.27,0.12,0.13,0.15,0.08,0.13,0.15,0.1,0.18,0.11
73,140,400,0.11,0.1,0.18,0.12,0.18,0.19,0.2,0.11,0.09,0.16
74,150,400,0.07,0.15,0.13,0.15,0.17,0.09,0.11,0.26,0.18,0.18
75,160,400,0.07,0.19,0.15,0.17,0.09,0.11,0.13,0.11,0.15,0.09
76,170,400,0.17,0.16,0.21,0.12,0.11,0.13,0.13,0.15,0.15,0.15
77,180,400,0.14,0.17,0.06,0.13,0.13,0.14,0.14,0.14,0.14,0.17
78,190,400,0.13,0.12,0.12,0.15,0.06,0.15,0.1,0.1,0.1,0.12
79,200,400,0.06,0.1,0.19,0.16,0.11,0.17,0.15,0.11,0.06,0.12
80,10,500,0.152,0.296,0.376,0.384,0.36,0.512,0.448,0.52,0.408,0.32
81,20,500,0.264,0.288,0.368,0.392,0.288,0.36,0.44,0.24,0.456,0.256
82,30,500,0.384,0.36,0.136,0.168,0.208,0.328,0.192,0.216,0.304,0.248
83,40,500,0.208,0.112,0.24,0.392,0.28,0.264,0.208,0.128,0.336,0.304
84,50,500,0.216,0.272,0.208,0.208,0.296,0.408,0.272,0.208,0.208,0.264
85,60,500,0.296,0.184,0.104,0.256,0.264,0.168,0.352,0.168,0.2,0.144
86,70,500,0.216,0.192,0.192,0.312,0.392,0.088,0.136,0.064,0.216,0.088
87,80,500,0.184,0.304,0.16,0.248,0.248,0.288,0.12,0.096,0.096,0.152
88,90,500,0.176,0.064,0.176,0.24,0.128,0.288,0.248,0.104,0.232,0.144
89,100,500,0.112,0.16,0.112,0.24,0.096,0.152,0.12,0.16,0.168,0.168
90,110,500,0.136,0.224,0.152,0.152,0.136,0.232,0.152,0.232,0.2,0.128
91,120,500,0.128,0.24,0.048,0.136,0.256,0.224,0.104,0.096,0.208,0.144
92,130,500,0.16,0.104,0.104,0.168,0.152,0.136,0.096,0.096,0.072,0.184
93,140,500,0.064,0.112,0.16,0.104,0.208,0.176,0.152,0.16,0.136,0.176
94,150,500,0.208,0.104,0.136,0.16,0.144,0.152,0.184,0.104,0.152,0.232
95,160,500,0.104,0.104,0.184,0.096,0.088,0.088,0.104,0.112,0.112,0.136
96,170,500,0.128,0.144,0.176,0.136,0.12,0.128,0.136,0.136,0.152,0.088
97,180,500,0.088,0.072,0.136,0.176,0.096,0.12,0.096,0.168,0.168,0.152
98,190,500,0.08,0.128,0.136,0.12,0.128,0.192,0.096,0.128,0.128,0.12
99,200,500,0.12,0.104,0.128,0.144,0.128,0.112,0.08,0.112,0.072,0.096
100,10,600,0.4666666666666667,0.4866666666666667,0.34,0.31333333333333335,0.36,0.30666666666666664,0.4266666666666667,0.3466666666666667,0.41333333333333333,0.36666666666666664
101,20,600,0.38666666666666666,0.28,0.21333333333333335,0.19333333333333333,0.23333333333333334,0.2,0.30666666666666664,0.30666666666666664,0.19333333333333333,0.4
102,30,600,0.26,0.15333333333333332,0.41333333333333333,0.23333333333333334,0.30666666666666664,0.4,0.37333333333333335,0.2866666666666667,0.32,0.31333333333333335
103,40,600,0.32,0.3933333333333333,0.26,0.2733333333333333,0.18,0.22666666666666666,0.25333333333333335,0.14666666666666667,0.24,0.18666666666666668
104,50,600,0.26,0.12,0.12,0.20666666666666667,0.3,0.22666666666666666,0.23333333333333334,0.24,0.32666666666666666,0.20666666666666667
105,60,600,0.2,0.34,0.22,0.13333333333333333,0.2,0.21333333333333335,0.24666666666666667,0.24,0.4266666666666667,0.2866666666666667
106,70,600,0.18666666666666668,0.26666666666666666,0.14,0.15333333333333332,0.1,0.3333333333333333,0.22666666666666666,0.16666666666666666,0.19333333333333333,0.2866666666666667
107,80,600,0.13333333333333333,0.26666666666666666,0.19333333333333333,0.14,0.12,0.11333333333333333,0.32,0.2,0.12,0.24
108,90,600,0.29333333333333333,0.14,0.14,0.12666666666666668,0.22,0.14666666666666667,0.14,0.15333333333333332,0.2733333333333333,0.29333333333333333
109,100,600,0.16666666666666666,0.20666666666666667,0.16666666666666666,0.20666666666666667,0.18,0.13333333333333333,0.24,0.24,0.24,0.14666666666666667
110,110,600,0.09333333333333334,0.20666666666666667,0.16,0.12,0.13333333333333333,0.22666666666666666,0.18,0.08,0.18666666666666668,0.18
111,120,600,0.14666666666666667,0.06666666666666667,0.13333333333333333,0.12666666666666668,0.30666666666666664,0.20666666666666667,0.18666666666666668,0.18666666666666668,0.09333333333333334,0.22
